X,Y,ASCII,Foreground,Background
39,5,177,#FFFF00,#000000
40,5,177,#FFFF00,#000000
41,5,177,#FFFF00,#000000
42,5,177,#FFFF00,#000000
43,5,177,#FFFF00,#000000
44,5,177,#FFFF00,#000000
45,5,177,#FFFF00,#000000
46,5,177,#FFFF00,#000000
47,5,177,#FFFF00,#000000
0,6,177,#8C008C,#000000
1,6,177,#8C008C,#000000
2,6,177,#FF66FF,#000000
3,6,177,#8C008C,#000000
4,6,177,#8C008C,#000000
5,6,177,#FF33FF,#000000
6,6,177,#FF33FF,#000000
7,6,177,#FF33FF,#000000
8,6,177,#FF33FF,#000000
9,6,177,#FF33FF,#000000
10,6,177,#FF33FF,#000000
11,6,177,#FF33FF,#000000
12,6,177,#FF33FF,#000000
13,6,177,#FF33FF,#000000
14,6,177,#FF33FF,#000000
15,6,177,#FF33FF,#000000
16,6,177,#D900D9,#000000
17,6,177,#660066,#000000
18,6,32,#000000,#000000
19,6,177,#FF66FF,#000000
20,6,177,#660066,#000000
21,6,177,#660066,#000000
22,6,32,#000000,#000000
23,6,42,#DEDEDE,#000000
24,6,32,#000000,#000000
25,6,32,#000000,#000000
26,6,32,#000000,#000000
27,6,32,#000000,#000000
28,6,32,#000000,#000000
29,6,32,#000000,#000000
30,6,32,#000000,#000000
31,6,177,#666666,#000000
32,6,177,#666666,#000000
33,6,177,#666666,#000000
34,6,177,#FFFF00,#000000
35,6,177,#FFFF00,#000000
36,6,177,#FFFF00,#000000
37,6,177,#FFFF00,#000000
38,6,177,#FFFF00,#000000
39,6,177,#FFFF00,#000000
40,6,177,#FFFF00,#000000
41,6,177,#FFFF00,#000000
42,6,177,#FFFF00,#000000
43,6,177,#FFFF00,#000000
44,6,177,#FFFF00,#000000
45,6,177,#FFFF00,#000000
46,6,177,#FFFF00,#000000
47,6,177,#FFFF00,#000000
0,7,32,#000000,#000000
1,7,177,#FF66FF,#000000
2,7,177,#FF66FF,#000000
3,7,177,#D900D9,#000000
4,7,177,#8C008C,#000000
5,7,177,#FF66FF,#000000
6,7,177,#FF66FF,#000000
7,7,177,#FF33FF,#000000
8,7,177,#FF33FF,#000000
9,7,177,#FF33FF,#000000
10,7,177,#4D4D4D,#000000
11,7,177,#4D4D4D,#000000
12,7,177,#D900D9,#000000
13,7,177,#660066,#000000
14,7,177,#660066,#000000
15,7,177,#660066,#000000
16,7,177,#660066,#000000
17,7,32,#000000,#000000
18,7,177,#FF66FF,#000000
19,7,32,#000000,#000000
20,7,32,#000000,#000000
21,7,32,#000000,#000000
22,7,32,#000000,#000000
23,7,32,#000000,#000000
24,7,32,#000000,#000000
25,7,32,#000000,#000000
26,7,32,#000000,#000000
27,7,32,#000000,#000000
28,7,32,#000000,#000000
29,7,32,#000000,#000000
30,7,177,#666666,#000000
31,7,177,#666666,#000000
32,7,177,#666666,#000000
33,7,177,#666666,#000000
34,7,177,#666666,#000000
35,7,177,#FFFF00,#000000
36,7,177,#FFFF00,#000000
37,7,177,#FFFF00,#000000
38,7,177,#FFFF00,#000000
39,7,177,#FFFF00,#000000
40,7,177,#FFFF00,#000000
41,7,177,#FFFF00,#000000
42,7,177,#FFFF00,#000000
43,7,177,#FFFF00,#000000
44,7,177,#FFFF00,#000000
45,7,177,#FFFF00,#000000
46,7,177,#FFFF00,#000000
47,7,177,#FFFF00,#000000
0,8,32,#000000,#000000
1,8,177,#660066,#000000
2,8,177,#660066,#000000
3,8,177,#8C008C,#000000
4,8,177,#8C008C,#000000
5,8,177,#FF66FF,#000000
6,8,177,#8C008C,#000000
7,8,177,#D900D9,#000000
8,8,177,#8C008C,#000000
9,8,177,#4D4D4D,#000000
10,8,33,#FFFFFF,#4D4D4D
11,8,33,#FFFFFF,#4D4D4D
12,8,177,#4D4D4D,#000000
13,8,177,#660066,#000000
14,8,32,#000000,#000000
15,8,177,#FF66FF,#000000
16,8,177,#FF66FF,#000000
17,8,32,#000000,#000000
18,8,32,#000000,#000000
19,8,32,#000000,#000000
20,8,42,#9E9E9E,#000000
21,8,32,#000000,#000000
22,8,32,#000000,#000000
23,8,32,#000000,#000000
24,8,32,#000000,#000000
25,8,32,#000000,#000000
26,8,32,#000000,#000000
27,8,32,#000000,#000000
28,8,32,#000000,#000000
29,8,32,#000000,#000000
30,8,177,#666666,#000000
31,8,177,#666666,#000000
32,8,177,#666666,#000000
33,8,177,#666666,#000000
34,8,177,#666666,#000000
35,8,177,#FFFF00,#000000
36,8,177,#FFFF00,#000000
37,8,177,#FFFF00,#000000
38,8,177,#FFFF00,#000000
39,8,177,#FFFF00,#000000
40,8,177,#FFFF00,#000000
41,8,177,#FFFF00,#000000
42,8,177,#FFFF00,#000000
43,8,177,#FFFF00,#000000
44,8,177,#FFFF00,#000000
45,8,177,#FFFF00,#000000
46,8,177,#FFFF00,#000000
47,8,177,#FFFF00,#000000
0,9,32,#000000,#000000
1,9,177,#D900D9,#000000
2,9,177,#660066,#000000
3,9,177,#660066,#000000
4,9,177,#660066,#000000
5,9,177,#660066,#000000
6,9,177,#660066,#000000
7,9,32,#000000,#000000
8,9,177,#4D4D4D,#000000
9,9,33,#FFFFFF,#4D4D4D
10,9,1,#FFFFFF,#4D4D4D
11,9,1,#FFFFFF,#4D4D4D
12,9,33,#FFFFFF,#4D4D4D
13,9,177,#4D4D4D,#000000
14,9,177,#FF66FF,#000000
15,9,177,#FF66FF,#000000
16,9,32,#000000,#000000
17,9,32,#000000,#000000
18,9,32,#000000,#000000
19,9,32,#000000,#000000
20,9,32,#000000,#000000
21,9,32,#000000,#000000
22,9,32,#000000,#000000
23,9,32,#000000,#000000
24,9,32,#000000,#000000
25,9,32,#000000,#000000
26,9,42,#9E9E9E,#000000
27,9,32,#000000,#000000
28,9,32,#000000,#000000
29,9,32,#000000,#000000
30,9,177,#666666,#000000
31,9,177,#666666,#000000
32,9,177,#666666,#000000
33,9,177,#666666,#000000
34,9,177,#666666,#000000
35,9,177,#FFFF00,#000000
36,9,177,#FFFF00,#000000
37,9,177,#FFFF00,#000000
38,9,177,#FFFF00,#000000
39,9,177,#FFFF00,#000000
40,9,177,#FFFF00,#000000
41,9,177,#FFFF00,#000000
42,9,177,#FFFF00,#000000
43,9,177,#FFFF00,#000000
44,9,177,#FFFF00,#000000
45,9,177,#FFFF00,#000000
46,9,177,#FFFF00,#000000
47,9,177,#FFFF00,#000000
0,10,177,#D900D9,#000000
1,10,177,#D900D9,#000000
2,10,177,#D900D9,#000000
3,10,177,#FF66FF,#000000
4,10,177,#FF66FF,#000000
5,10,177,#FF66FF,#000000
6,10,32,#000000,#000000
7,10,32,#000000,#000000
8,10,177,#4D4D4D,#000000
9,10,177,#4D4D4D,#000000
10,10,1,#FFFFFF,#4D4D4D
11,10,1,#FFFFFF,#4D4D4D
12,10,177,#4D4D4D,#000000
13,10,177,#4D4D4D,#000000
14,10,32,#000000,#000000
15,10,32,#000000,#000000
16,10,32,#000000,#000000
17,10,32,#000000,#000000
18,10,32,#000000,#000000
19,10,32,#000000,#000000
20,10,32,#000000,#000000
21,10,32,#000000,#000000
22,10,32,#000000,#000000
23,10,32,#000000,#000000
24,10,32,#000000,#000000
25,10,32,#000000,#000000
26,10,32,#000000,#000000
27,10,32,#000000,#000000
28,10,32,#000000,#000000
29,10,32,#000000,#000000
30,10,32,#000000,#000000
31,10,177,#666666,#000000
32,10,177,#666666,#000000
33,10,177,#666666,#000000
34,10,177,#FFFF00,#000000
35,10,177,#FFFF00,#000000
36,10,177,#FFFF00,#000000
37,10,177,#FFFF00,#000000
38,10,177,#FFFF00,#000000
39,10,177,#FFFF00,#000000
40,10,177,#FFFF00,#000000
41,10,177,#FFFF00,#000000
42,10,177,#FFFF00,#000000
43,10,177,#FFFF00,#000000
44,10,177,#FFFF00,#000000
45,10,177,#FFFF00,#000000
46,10,177,#FFFF00,#000000
47,10,32,#000000,#000000
0,11,177,#D900D9,#000000
1,11,32,#000000,#000000
2,11,32,#000000,#000000
3,11,32,#000000,#000000
4,11,177,#FF66FF,#000000
5,11,32,#000000,#000000
6,11,32,#000000,#000000
7,11,32,#000000,#000000
8,11,32,#000000,#000000
9,11,177,#4D4D4D,#000000
10,11,177,#4D4D4D,#000000
11,11,177,#4D4D4D,#000000
12,11,177,#4D4D4D,#000000
13,11,32,#000000,#000000
14,11,32,#000000,#000000
15,11,32,#000000,#000000
16,11,32,#000000,#000000
17,11,32,#000000,#000000
18,11,32,#000000,#000000
19,11,32,#000000,#000000
20,11,32,#000000,#000000
21,11,32,#000000,#000000
22,11,32,#000000,#000000
23,11,32,#000000,#000000
24,11,32,#000000,#000000
25,11,32,#000000,#000000
26,11,32,#000000,#000000
27,11,32,#000000,#000000
28,11,32,#000000,#000000
29,11,42,#9E9E9E,#000000
30,11,32,#000000,#000000
31,11,32,#000000,#000000
32,11,32,#000000,#000000
33,11,32,#000000,#000000
34,11,177,#FFFF00,#000000
35,11,177,#FFFF00,#000000
36,11,177,#FFFF00,#000000
37,11,177,#FFFF00,#000000
38,11,177,#FFFF00,#000000
39,11,177,#FFFF00,#000000
40,11,177,#FFFF00,#000000
41,11,177,#FFFF00,#000000
42,11,177,#FFFF00,#000000
43,11,177,#FFFF00,#000000
44,11,177,#FFFF00,#000000
45,11,177,#FFFF00,#000000
46,11,177,#FFFF00,#000000
47,11,32,#000000,#000000
0,12,32,#000000,#000000
1,12,32,#000000,#000000
2,12,32,#000000,#000000
3,12,32,#000000,#000000
4,12,32,#000000,#000000
5,12,32,#000000,#000000
6,12,42,#DEDEDE,#000000
7,12,32,#000000,#000000
8,12,32,#000000,#000000
9,12,177,#4D4D4D,#000000
10,12,177,#4D4D4D,#000000
11,12,177,#4D4D4D,#000000
12,12,177,#4D4D4D,#000000
13,12,32,#000000,#000000
14,12,32,#000000,#000000
15,12,32,#000000,#000000
16,12,32,#000000,#000000
17,12,32,#000000,#000000
18,12,32,#000000,#000000
19,12,32,#000000,#000000
20,12,42,#9E9E9E,#000000
21,12,32,#000000,#000000
22,12,32,#000000,#000000
23,12,32,#000000,#000000
24,12,32,#000000,#000000
25,12,32,#000000,#000000
26,12,32,#000000,#000000
27,12,32,#000000,#000000
28,12,32,#000000,#000000
29,12,32,#000000,#000000
30,12,32,#000000,#000000
31,12,32,#000000,#000000
32,12,32,#000000,#000000
33,12,32,#000000,#000000
34,12,32,#000000,#000000
35,12,177,#FFFF00,#000000
36,12,177,#FFFF00,#000000
37,12,177,#FFFF00,#000000
38,12,177,#FFFF00,#000000
39,12,177,#FFFF00,#000000
40,12,177,#FFFF00,#000000
41,12,177,#FFFF00,#000000
42,12,177,#FFFF00,#000000
43,12,177,#FFFF00,#000000
44,12,177,#FFFF00,#000000
45,12,177,#FFFF00,#000000
46,12,32,#000000,#000000
47,12,32,#000000,#000000
0,13,32,#000000,#000000
1,13,32,#000000,#000000
2,13,42,#DEDEDE,#000000
3,13,32,#000000,#000000
4,13,32,#000000,#000000
5,13,32,#000000,#000000
6,13,32,#000000,#000000
7,13,32,#000000,#000000
8,13,32,#000000,#000000
9,13,32,#000000,#000000
10,13,176,#FFFF66,#000000
11,13,176,#FFFF66,#000000
12,13,32,#000000,#000000
13,13,32,#000000,#000000
14,13,32,#000000,#000000
15,13,32,#000000,#000000
16,13,42,#DEDEDE,#000000
17,13,32,#000000,#000000
18,13,32,#000000,#000000
19,13,32,#000000,#000000
20,13,32,#000000,#000000
21,13,32,#000000,#000000
22,13,32,#000000,#000000
23,13,32,#000000,#000000
24,13,32,#000000,#000000
25,13,32,#000000,#000000
26,13,32,#000000,#000000
27,13,32,#000000,#000000
28,13,32,#000000,#000000
29,13,32,#000000,#000000
30,13,32,#000000,#000000
31,13,32,#000000,#000000
32,13,32,#000000,#000000
33,13,32,#000000,#000000
34,13,42,#DEDEDE,#000000
35,13,32,#000000,#000000
36,13,177,#FFFF00,#000000
37,13,177,#FFFF00,#000000
38,13,177,#FFFF00,#000000
39,13,177,#FFFF00,#000000
40,13,177,#FFFF00,#000000
41,13,177,#FFFF00,#000000
42,13,177,#FFFF00,#000000
43,13,177,#FFFF00,#000000
44,13,177,#FFFF00,#000000
45,13,32,#000000,#000000
46,13,32,#000000,#000000
47,13,32,#000000,#000000
0,14,32,#000000,#000000
1,14,32,#000000,#000000
2,14,32,#000000,#000000
3,14,32,#000000,#000000
4,14,32,#000000,#000000
5,14,32,#000000,#000000
6,14,32,#000000,#000000
7,14,32,#000000,#000000
8,14,32,#000000,#000000
9,14,32,#000000,#000000
10,14,32,#000000,#000000
11,14,32,#000000,#000000
12,14,32,#000000,#000000
13,14,32,#000000,#000000
14,14,32,#000000,#000000
15,14,32,#000000,#000000
16,14,32,#000000,#000000
17,14,32,#000000,#000000
18,14,32,#000000,#000000
19,14,32,#000000,#000000
20,14,32,#000000,#000000
21,14,32,#000000,#000000
22,14,42,#DEDEDE,#000000
23,14,32,#000000,#000000
24,14,32,#000000,#000000
25,14,42,#DEDEDE,#000000
26,14,32,#000000,#000000
27,14,42,#DEDEDE,#000000
28,14,32,#000000,#000000
29,14,32,#000000,#000000
30,14,32,#000000,#000000
31,14,32,#000000,#000000
32,14,32,#000000,#000000
33,14,32,#000000,#000000
34,14,32,#000000,#000000
35,14,32,#000000,#000000
36,14,32,#000000,#000000
37,14,32,#000000,#000000
38,14,177,#FFFF00,#000000
39,14,177,#FFFF00,#000000
40,14,177,#FFFF00,#000000
41,14,177,#FFFF00,#000000
42,14,177,#FFFF00,#000000
43,14,32,#000000,#000000
44,14,32,#000000,#000000
45,14,32,#000000,#000000
46,14,32,#000000,#000000
47,14,32,#000000,#000000
